dim_i t
# dimj = 1024
128 0.08
256 0.078
384 0.075
512 0.069
640 0.085
768 0.077
896 0.072
1024 0.08
1152 0.073
1280 0.071
1408 0.082
1536 0.077
1664 0.079
1792 0.076
1920 0.083
2048 0.073
2176 0.077
2304 0.082
2432 0.079
2560 0.075
2688 0.085
2816 0.071
2944 0.09
3072 0.087
