dim_i t
#some comment line
128 0.042
256 0.091
384 0.117
512 0.153
640 0.222
768 0.254
896 0.298
1024 0.315
1152 0.383
1280 0.425
1408 0.483
1536 0.541
1664 0.48
1792 0.522
1920 0.623
2048 0.61
2176 0.75
2304 0.807
2432 0.849
2560 0.8
2688 0.913
2816 0.986
2944 0.939
3072 0.969
