dim_i t
#some comment line
128 0.027
256 0.049
384 0.08
512 0.1
640 0.127
768 0.147
896 0.18
1024 0.193
1152 0.237
1280 0.249
1408 0.294
1536 0.318
1664 0.344
1792 0.357
1920 0.382
2048 0.423
2176 0.438
2304 0.472
2432 0.456
2560 0.486
2688 0.504
2816 0.589
2944 0.54
3072 0.637
