dim_i t
# dimj = 3072
128 0.077
256 0.085
384 0.07
512 0.095
640 0.083
768 0.092
896 0.09
1024 0.086
1152 0.085
1280 0.086
1408 0.088
1536 0.096
1664 0.086
1792 0.089
1920 0.094
2048 0.092
2176 0.098
2304 0.096
2432 0.088
2560 0.095
2688 0.086
2816 0.1
2944 0.096
3072 0.104
