dim_i t
# dimj = 2048
128 0.018
256 0.018
384 0.019
512 0.028
640 0.018
768 0.018
896 0.017
1024 0.024
1152 0.016
1280 0.018
1408 0.019
1536 0.018
1664 0.026
1792 0.019
1920 0.019
2048 0.018
2176 0.021
2304 0.018
2432 0.019
2560 0.019
2688 0.019
2816 0.02
2944 0.018
3072 0.019
