dim_i t
# dimj = 2560
128 0.019
256 0.018
384 0.017
512 0.02
640 0.019
768 0.017
896 0.019
1024 0.02
1152 0.018
1280 0.02
1408 0.018
1536 0.017
1664 0.019
1792 0.017
1920 0.018
2048 0.018
2176 0.019
2304 0.022
2432 0.018
2560 0.024
2688 0.018
2816 0.02
2944 0.018
3072 0.02
