dim_i t
#2560
128 0.166
256 0.086
384 0.087
512 0.07
640 0.076
768 0.074
896 0.08
1024 0.081
1152 0.083
1280 0.086
1408 0.079
1536 0.078
1664 0.079
1792 0.086
1920 0.083
2048 0.086
2176 0.083
2304 0.087
2432 0.089
2560 0.089
2688 0.09
2816 0.097
2944 0.098
3072 0.099
