dim_i t
# dimj = 1536
128 0.103
256 0.094
384 0.097
512 0.105
640 0.096
768 0.098
896 0.098
1024 0.099
1152 0.101
1280 0.102
1408 0.115
1536 0.097
1664 0.098
1792 0.108
1920 0.107
2048 0.095
2176 0.091
2304 0.115
2432 0.098
2560 0.118
2688 0.114
2816 0.125
2944 0.119
3072 0.124
