dim_i t
# dimj = 3072
128 0.018
256 0.018
384 0.019
512 0.02
640 0.018
768 0.02
896 0.019
1024 0.018
1152 0.019
1280 0.02
1408 0.021
1536 0.02
1664 0.019
1792 0.02
1920 0.019
2048 0.021
2176 0.019
2304 0.018
2432 0.019
2560 0.019
2688 0.023
2816 0.021
2944 0.018
3072 0.018
