dim_i t
# dimj = 1536
128 0.074
256 0.081
384 0.087
512 0.08
640 0.071
768 0.073
896 0.074
1024 0.083
1152 0.07
1280 0.079
1408 0.08
1536 0.073
1664 0.077
1792 0.087
1920 0.075
2048 0.078
2176 0.087
2304 0.083
2432 0.078
2560 0.086
2688 0.098
2816 0.081
2944 0.084
3072 0.094
