dim_i t
# dimj = 1536
128 0.038
256 0.096
384 0.11
512 0.169
640 0.213
768 0.267
896 0.316
1024 0.337
1152 0.362
1280 0.423
1408 0.47
1536 0.509
1664 0.48
1792 0.614
1920 0.631
2048 0.626
2176 0.754
2304 0.797
2432 0.76
2560 0.845
2688 0.93
2816 0.953
2944 0.994
3072 0.903
