dim_i t
# dimj = 1536
128 0.027
256 0.05
384 0.082
512 0.113
640 0.115
768 0.153
896 0.185
1024 0.195
1152 0.235
1280 0.232
1408 0.251
1536 0.293
1664 0.334
1792 0.349
1920 0.396
2048 0.417
2176 0.434
2304 0.433
2432 0.474
2560 0.521
2688 0.565
2816 0.578
2944 0.529
3072 0.563
