dim_i t
# dimj = 2048
128 0.083
256 0.083
384 0.072
512 0.084
640 0.082
768 0.08
896 0.069
1024 0.076
1152 0.078
1280 0.091
1408 0.086
1536 0.089
1664 0.079
1792 0.091
1920 0.084
2048 0.079
2176 0.092
2304 0.088
2432 0.089
2560 0.095
2688 0.088
2816 0.094
2944 0.095
3072 0.097
