dim_i t
#some comment line
128 0.093
256 0.18
384 0.248
512 0.291
640 0.47
768 0.475
896 0.603
1024 0.698
1152 0.851
1280 0.844
1408 0.856
1536 1.047
1664 1.151
1792 1.309
1920 1.324
2048 1.306
2176 1.344
2304 1.359
2432 1.785
2560 1.874
2688 1.628
2816 1.961
2944 2.145
3072 2.234
