dim_i t
# dimj = 2048
128 0.103
256 0.112
384 0.13
512 0.105
640 0.094
768 0.093
896 0.114
1024 0.106
1152 0.106
1280 0.104
1408 0.105
1536 0.112
1664 0.119
1792 0.109
1920 0.103
2048 0.114
2176 0.127
2304 0.115
2432 0.121
2560 0.136
2688 0.11
2816 0.127
2944 0.115
3072 0.125
