dim_i t
#1536
128 0.198
256 0.092
384 0.107
512 0.073
640 0.078
768 0.1
896 0.073
1024 0.076
1152 0.071
1280 0.075
1408 0.095
1536 0.076
1664 0.073
1792 0.092
1920 0.115
2048 0.119
2176 0.122
2304 0.104
2432 0.087
2560 0.085
2688 0.088
2816 0.096
2944 0.088
3072 0.094
