dim_i t
# dimj = 2560
128 0.085
256 0.078
384 0.07
512 0.081
640 0.076
768 0.069
896 0.07
1024 0.079
1152 0.079
1280 0.079
1408 0.083
1536 0.078
1664 0.09
1792 0.084
1920 0.091
2048 0.093
2176 0.082
2304 0.091
2432 0.09
2560 0.101
2688 0.093
2816 0.093
2944 0.09
3072 0.1
