dim_i t
#512
128 0.22
256 0.086
384 0.123
512 0.12
640 0.12
768 0.122
896 0.086
1024 0.099
1152 0.118
1280 0.112
1408 0.11
1536 0.099
1664 0.101
1792 0.113
1920 0.119
2048 0.104
2176 0.108
2304 0.107
2432 0.112
2560 0.094
2688 0.11
2816 0.106
2944 0.077
3072 0.106
