dim_i t
# dimj = 1024
128 0.02
256 0.018
384 0.02
512 0.018
640 0.02
768 0.018
896 0.02
1024 0.019
1152 0.018
1280 0.018
1408 0.018
1536 0.02
1664 0.019
1792 0.018
1920 0.019
2048 0.02
2176 0.02
2304 0.021
2432 0.018
2560 0.018
2688 0.018
2816 0.021
2944 0.019
3072 0.02
