dim_i t
# dimj = 512
128 0.194
256 0.112
384 0.117
512 0.106
640 0.112
768 0.097
896 0.099
1024 0.092
1152 0.091
1280 0.092
1408 0.093
1536 0.105
1664 0.099
1792 0.094
1920 0.095
2048 0.093
2176 0.094
2304 0.09
2432 0.098
2560 0.088
2688 0.09
2816 0.098
2944 0.088
3072 0.091
