dim_i t
#some comment line
128 0.006
256 0.011
384 0.017
512 0.028
640 0.031
768 0.033
896 0.04
1024 0.045
1152 0.049
1280 0.056
1408 0.061
1536 0.066
1664 0.071
1792 0.078
1920 0.083
2048 0.087
2176 0.095
2304 0.098
2432 0.107
2560 0.11
2688 0.117
2816 0.122
2944 0.126
3072 0.134
