dim_i t
# dimj = 3072
128 0.095
256 0.168
384 0.275
512 0.374
640 0.392
768 0.487
896 0.618
1024 0.595
1152 0.824
1280 0.914
1408 0.864
1536 1.123
1664 1.152
1792 1.182
1920 1.411
2048 1.485
2176 1.32
2304 1.333
2432 1.776
2560 1.781
2688 1.56
2816 1.769
2944 2.16
3072 2.161
