dim_i t
# dimj = 1536
128 0.017
256 0.018
384 0.018
512 0.017
640 0.017
768 0.02
896 0.018
1024 0.017
1152 0.017
1280 0.019
1408 0.019
1536 0.017
1664 0.021
1792 0.021
1920 0.019
2048 0.018
2176 0.019
2304 0.019
2432 0.018
2560 0.02
2688 0.017
2816 0.02
2944 0.019
3072 0.02
