dim_i t
#3072
128 0.21
256 0.077
384 0.083
512 0.072
640 0.083
768 0.076
896 0.075
1024 0.085
1152 0.088
1280 0.087
1408 0.092
1536 0.085
1664 0.084
1792 0.088
1920 0.089
2048 0.089
2176 0.09
2304 0.088
2432 0.093
2560 0.088
2688 0.088
2816 0.088
2944 0.102
3072 0.106
