dim_i t
# dimj = 512
128 0.006
256 0.011
384 0.017
512 0.027
640 0.027
768 0.032
896 0.039
1024 0.044
1152 0.049
1280 0.055
1408 0.061
1536 0.066
1664 0.07
1792 0.078
1920 0.085
2048 0.088
2176 0.094
2304 0.098
2432 0.105
2560 0.111
2688 0.115
2816 0.121
2944 0.124
3072 0.13
