dim_i t
# dimj = 2560
128 0.066
256 0.129
384 0.159
512 0.248
640 0.334
768 0.39
896 0.446
1024 0.525
1152 0.586
1280 0.614
1408 0.714
1536 0.804
1664 0.688
1792 0.893
1920 0.915
2048 0.991
2176 0.969
2304 1.161
2432 1.258
2560 1.3
2688 1.106
2816 1.347
2944 1.543
3072 1.547
