dim_i t
# dimj = 3072
128 0.126
256 0.115
384 0.123
512 0.107
640 0.101
768 0.116
896 0.115
1024 0.115
1152 0.107
1280 0.103
1408 0.108
1536 0.112
1664 0.114
1792 0.114
1920 0.118
2048 0.108
2176 0.117
2304 0.115
2432 0.121
2560 0.124
2688 0.12
2816 0.118
2944 0.124
3072 0.122
