dim_i t
# dimj = 2560
128 0.126
256 0.135
384 0.125
512 0.095
640 0.131
768 0.113
896 0.103
1024 0.109
1152 0.107
1280 0.106
1408 0.121
1536 0.105
1664 0.116
1792 0.12
1920 0.123
2048 0.117
2176 0.109
2304 0.121
2432 0.12
2560 0.121
2688 0.114
2816 0.12
2944 0.125
3072 0.12
