dim_i t
# dimj = 512
128 0.02
256 0.027
384 0.029
512 0.024
640 0.024
768 0.021
896 0.019
1024 0.019
1152 0.019
1280 0.018
1408 0.019
1536 0.02
1664 0.02
1792 0.02
1920 0.02
2048 0.019
2176 0.019
2304 0.02
2432 0.021
2560 0.021
2688 0.019
2816 0.02
2944 0.019
3072 0.019
