dim_i t
#2048
128 0.197
256 0.092
384 0.091
512 0.079
640 0.081
768 0.077
896 0.074
1024 0.094
1152 0.09
1280 0.075
1408 0.078
1536 0.078
1664 0.076
1792 0.089
1920 0.089
2048 0.087
2176 0.106
2304 0.086
2432 0.094
2560 0.094
2688 0.09
2816 0.089
2944 0.104
3072 0.093
