dim_i t
# dimj = 512
128 0.204
256 0.097
384 0.096
512 0.09
640 0.08
768 0.082
896 0.089
1024 0.084
1152 0.08
1280 0.072
1408 0.072
1536 0.076
1664 0.075
1792 0.072
1920 0.077
2048 0.073
2176 0.074
2304 0.072
2432 0.075
2560 0.071
2688 0.083
2816 0.078
2944 0.08
3072 0.075
