dim_i t
#1024
128 0.188
256 0.094
384 0.113
512 0.134
640 0.12
768 0.09
896 0.102
1024 0.116
1152 0.073
1280 0.118
1408 0.071
1536 0.126
1664 0.075
1792 0.131
1920 0.08
2048 0.119
2176 0.077
2304 0.094
2432 0.114
2560 0.078
2688 0.088
2816 0.116
2944 0.113
3072 0.077
