dim_i t
# dimj = 1024
128 0.013
256 0.028
384 0.042
512 0.062
640 0.071
768 0.08
896 0.093
1024 0.107
1152 0.119
1280 0.141
1408 0.145
1536 0.158
1664 0.171
1792 0.186
1920 0.198
2048 0.212
2176 0.225
2304 0.245
2432 0.252
2560 0.265
2688 0.278
2816 0.296
2944 0.302
3072 0.32
