dim_i t
# dimj = 1024
128 0.085
256 0.092
384 0.091
512 0.098
640 0.096
768 0.092
896 0.093
1024 0.092
1152 0.091
1280 0.087
1408 0.088
1536 0.093
1664 0.09
1792 0.09
1920 0.088
2048 0.099
2176 0.11
2304 0.091
2432 0.097
2560 0.098
2688 0.098
2816 0.097
2944 0.1
3072 0.108
