dim_i t
#some comment line
128 0.067
256 0.134
384 0.205
512 0.245
640 0.318
768 0.392
896 0.43
1024 0.514
1152 0.582
1280 0.626
1408 0.689
1536 0.8
1664 0.821
1792 0.911
1920 0.947
2048 0.977
2176 1.13
2304 1.208
2432 1.248
2560 1.311
2688 1.266
2816 1.328
2944 1.265
3072 1.581
